,uniswapDayDatas_volumeUSD,uniswapDayDatas_datetime
158,50568467.99146526,2021-11-29
159,65192307.56587226,2021-11-28
160,49265576.9968325,2021-11-27
161,124937214.99328946,2021-11-26
162,51632128.97302862,2021-11-25
163,126891008.30382615,2021-11-24
164,99142874.54647662,2021-11-23
165,107789658.74439937,2021-11-22
166,48097247.79000953,2021-11-21
167,50228402.551328756,2021-11-20
168,57462109.75969882,2021-11-19
169,50214641.02014605,2021-11-18
170,68571195.80910437,2021-11-17
171,102035020.21729799,2021-11-16
172,51813133.776555434,2021-11-15
173,39836265.499743745,2021-11-14
174,35488938.674235016,2021-11-13
175,78734580.24915032,2021-11-12
176,47311191.538210966,2021-11-11
177,98826939.7332532,2021-11-10
178,44517249.1044052,2021-11-09
179,37243042.32121628,2021-11-08
180,23182234.21287591,2021-11-07
181,47577716.98861836,2021-11-06
182,44190209.98505258,2021-11-05
183,60604214.18154072,2021-11-04
184,55563396.752555415,2021-11-03
185,46680263.419217,2021-11-02
186,70092993.5159974,2021-11-01
187,54233108.37971403,2021-10-31
188,33701612.99057866,2021-10-30
189,58718965.1906169,2021-10-29
190,79760310.77488536,2021-10-28
191,85695392.33701657,2021-10-27
192,61800744.90547288,2021-10-26
193,34344752.73771595,2021-10-25
194,46868102.24620623,2021-10-24
195,45416338.56918023,2021-10-23
196,52665686.00372262,2021-10-22
197,75417641.25583978,2021-10-21
198,58635160.25887426,2021-10-20
199,72353788.9773685,2021-10-19
200,81773370.68495266,2021-10-18
201,78257326.63555475,2021-10-17
202,49881588.09928495,2021-10-16
203,75886208.84809734,2021-10-15
204,43889030.47704804,2021-10-14
205,27237915.374361355,2021-10-13
206,15819908.274608104,2021-10-12
207,17309593.524443727,2021-10-11
208,13698447.256550938,2021-10-10
209,7219204.404235419,2021-10-09
210,17581030.116167404,2021-10-08
211,17527272.048154596,2021-10-07
212,28201695.37528671,2021-10-06
213,20383198.290868465,2021-10-05
214,15314804.48674907,2021-10-04
215,12448975.217407426,2021-10-03
216,9992230.64524311,2021-10-02
217,13710487.307927793,2021-10-01
218,17560855.577943075,2021-09-30
219,12353500.646886239,2021-09-29
220,19649190.64710659,2021-09-28
221,26332364.04563468,2021-09-27
222,35722596.566704944,2021-09-26
223,17601295.114714574,2021-09-25
224,27758850.25826094,2021-09-24
225,20153687.78050551,2021-09-23
226,26121255.47749425,2021-09-22
227,45745671.223763466,2021-09-21
228,48102772.72733702,2021-09-20
229,19916222.888838623,2021-09-19
230,24873580.39825591,2021-09-18
231,27589221.249159627,2021-09-17
232,39953882.07505403,2021-09-16
233,40770962.56931556,2021-09-15
234,31052458.423418384,2021-09-14
235,27127857.864033237,2021-09-13
236,35286690.5708593,2021-09-12
237,30303766.42198123,2021-09-11
238,4938668.88304526,2021-09-10
239,1646821.6302884112,2021-09-09
240,1065186.3755300818,2021-09-08
241,3938462.836074661,2021-09-07
242,7613100.803530073,2021-09-06
243,436370.66858581384,2021-09-05
244,283725.860635662,2021-09-04
245,719129.3085215933,2021-09-03
246,463837.3402921983,2021-09-02
247,547511.4409090391,2021-09-01
248,0.0,2021-08-31
249,0.0,2021-08-30
250,0.0,2021-08-29
251,0.0,2021-08-27
252,0.0,2021-07-14
253,0.0,2021-07-12
254,0.0,2021-07-01
255,0.0,2021-06-23
256,0.0,2021-06-17
257,0.0,2021-06-04
258,0.0,2021-06-02
259,0.0,2021-06-01
