,dailySwapVolumeSnapshots_volumeUSD,dailySwapVolumeSnapshots_datetime
232,12684.280376399964,2022-04-19
233,21135.97433216314,2022-04-19
234,534321.7858345198,2022-04-19
235,55782.02648449792,2022-04-19
236,138398.397238,2022-04-19
237,0.5157713708848408,2022-04-19
238,4291223.519564203,2022-04-19
239,10593.157112402152,2022-04-19
240,721017.5498604303,2022-04-19
241,914.8287950601497,2022-04-19
242,1.8746571146965452,2022-04-19
243,46298.2415775,2022-04-18
244,41328.54447253282,2022-04-18
245,30007.096480496668,2022-04-18
246,5167.299540949126,2022-04-18
247,19508.37696666034,2022-04-18
248,1376288.087088854,2022-04-18
249,141329.14871849524,2022-04-18
250,166448.0401155,2022-04-18
251,8668253.58753089,2022-04-18
252,7049.92229918419,2022-04-18
253,12014.290435191908,2022-04-18
254,79181.50908163228,2022-04-18
255,1077.453128416452,2022-04-18
256,18486.723888,2022-04-17
257,27095.202879211978,2022-04-17
258,430.5692939632676,2022-04-17
259,894.970582,2022-04-17
260,28345.170728543915,2022-04-17
261,470529.4339402726,2022-04-17
262,111475.48603671021,2022-04-17
263,96740.885485,2022-04-17
264,0.0,2022-04-17
265,11227204.794099592,2022-04-17
266,6180.396958318933,2022-04-17
267,427287.23459761747,2022-04-17
268,94.70483051396617,2022-04-17
269,10.077984,2022-04-16
270,9657.465573642528,2022-04-16
271,64495.42713513938,2022-04-16
272,759.036283182467,2022-04-16
273,16972.510446582084,2022-04-16
274,171180.928935924,2022-04-16
275,129072.3111849698,2022-04-16
276,194801.5019745,2022-04-16
277,5314860.369259148,2022-04-16
278,3004.128828738486,2022-04-16
279,652771.2198649952,2022-04-16
280,85.83814397988344,2022-04-16
281,27383.270362784988,2022-04-15
282,3085.4681579971507,2022-04-15
283,938.913925695568,2022-04-15
284,5343.6311102775335,2022-04-15
285,319311.7973353653,2022-04-15
286,104985.42428537711,2022-04-15
287,67143.1957865,2022-04-15
288,10081280.880102899,2022-04-15
289,6789.729374760429,2022-04-15
290,48146.201492234264,2022-04-15
291,21369.381390797625,2022-04-14
292,92692.89350731981,2022-04-14
293,25220.63541828961,2022-04-14
294,18144.627241239137,2022-04-14
295,432948.0615681179,2022-04-14
296,100236.12245521328,2022-04-14
297,197805.919551,2022-04-14
298,5269017.6100908825,2022-04-14
299,15965.614238705057,2022-04-14
300,8609.142174937822,2022-04-14
301,399838.90045918716,2022-04-14
302,42686.26733678783,2022-04-13
303,74947.41885437227,2022-04-13
304,70629.30442818216,2022-04-13
305,25006.19131580975,2022-04-13
306,18091.66931949711,2022-04-13
307,120161.39134181135,2022-04-13
308,140992.0792615,2022-04-13
309,738.283449476302,2022-04-13
310,0.0,2022-04-13
311,8706392.352752263,2022-04-13
312,1725.757719544579,2022-04-13
313,10171.142330249788,2022-04-13
314,161362.2740009715,2022-04-13
315,153.33817449566922,2022-04-13
316,57430.81732862356,2022-04-12
317,9840.624852118157,2022-04-12
318,18457.07270924223,2022-04-12
319,121779.86931039674,2022-04-12
320,120714.54429068032,2022-04-12
321,187219.5202995,2022-04-12
322,72.2303245922081,2022-04-12
323,8364890.067935359,2022-04-12
324,9339.785021966962,2022-04-12
325,10716.085516202897,2022-04-12
326,1516253.3181380995,2022-04-12
327,1438.031510171614,2022-04-12
328,65038.64086882411,2022-04-11
329,1119.542519025863,2022-04-11
330,41363.41305728075,2022-04-11
331,23236.03095757833,2022-04-11
332,143654.290737672,2022-04-11
333,486077.022836,2022-04-11
334,10100081.197256243,2022-04-11
335,17626.483882092998,2022-04-11
336,1618167.9022217311,2022-04-11
337,390.02593190037567,2022-04-11
338,0.002,2022-04-11
339,2.148000647164618,2022-04-11
340,18791.938532660814,2022-04-10
341,1862.2544676732348,2022-04-10
342,50013.190400244544,2022-04-10
343,22575.441414444478,2022-04-10
344,29921.342055435165,2022-04-10
345,82179.1238185,2022-04-10
346,13671930.36282701,2022-04-10
347,8073559.978768738,2022-04-10
348,22973.613354605295,2022-04-10
349,4274.762687183804,2022-04-10
350,715689.5015346014,2022-04-10
351,240.78429049288476,2022-04-10
352,5.362071,2022-04-09
353,47008.24662930602,2022-04-09
354,1020.6116884369891,2022-04-09
355,64788.95257248716,2022-04-09
356,449657.15771188965,2022-04-09
357,75565.59576866713,2022-04-09
358,352421.0168195,2022-04-09
359,81.12184679802033,2022-04-09
360,5598917.583284442,2022-04-09
361,3587.9638016107933,2022-04-09
362,150352.99209764044,2022-04-09
363,135.9895275519235,2022-04-09
364,38054.48482659185,2022-04-08
365,3811.383417607906,2022-04-08
366,47404.073185234025,2022-04-08
367,68205.13149768012,2022-04-08
368,60026.3734786127,2022-04-08
369,190408.6820665,2022-04-08
370,277.929421240182,2022-04-08
371,16363142.342352912,2022-04-08
372,8241.54851785247,2022-04-08
373,53879.44902145229,2022-04-08
374,312.3978588749108,2022-04-08
375,23068.212423863715,2022-04-07
376,136.1162595416266,2022-04-07
377,34008.27827655848,2022-04-07
378,0.00017367734677832414,2022-04-07
379,15084.761977958873,2022-04-07
380,106155.18254538097,2022-04-07
381,163309.760117,2022-04-07
382,245.118662967894,2022-04-07
383,8249561.448440674,2022-04-07
384,5.328579705659467,2022-04-07
385,7339.264132146688,2022-04-07
386,1143208.3699273039,2022-04-07
387,124.52074045626999,2022-04-07
388,15120.05399617648,2022-04-06
389,1707.3971134619937,2022-04-06
390,59385.16930142347,2022-04-06
391,228321.53608391838,2022-04-06
392,33335.231577434475,2022-04-06
393,176555.711678,2022-04-06
394,1113.4825369363334,2022-04-06
395,11343159.274571616,2022-04-06
396,13006.464300958243,2022-04-06
397,4821298.922677367,2022-04-06
398,0.0,2022-04-06
399,19348.436406574558,2022-04-05
400,74302.19970638982,2022-04-05
401,47577.1211205727,2022-04-05
402,411557.48938543035,2022-04-05
403,76983.520335,2022-04-05
404,13907863.004893288,2022-04-05
405,3.2264511256952573,2022-04-05
406,4404.530786135098,2022-04-05
407,176336.30499703396,2022-04-05
408,211.10859835330092,2022-04-05
409,27339.663515318043,2022-04-04
410,1192.8373210722064,2022-04-04
411,71840.4316923798,2022-04-04
412,189803.33063362326,2022-04-04
413,110054.78675741072,2022-04-04
414,200957.547874,2022-04-04
415,0.0,2022-04-04
416,163.61099642524175,2022-04-04
417,16649265.882561084,2022-04-04
418,4848.507885246937,2022-04-04
419,394013.8276860555,2022-04-04
420,678.394440829417,2022-04-04
421,25708.940501332556,2022-04-03
422,145779.88915111907,2022-04-03
423,696360.3153061515,2022-04-03
424,56996.86062299384,2022-04-03
425,215634.875406,2022-04-03
426,1200.373879343693,2022-04-03
427,8860156.53232647,2022-04-03
428,4896.052581130591,2022-04-03
429,26387.052810559948,2022-04-03
430,228.81572640389544,2022-04-03
431,8558.853668510394,2022-04-02
432,1792.556462725662,2022-04-02
433,112509.27369707395,2022-04-02
434,4326949.5076434035,2022-04-02
435,132309.32923821337,2022-04-02
436,315531.2032795,2022-04-02
437,0.9522261967419529,2022-04-02
438,9488417.520285752,2022-04-02
439,8531.87070053098,2022-04-02
440,12490.495964343147,2022-04-02
441,421272.8362765146,2022-04-02
442,278.2698678452495,2022-04-02
443,29914.39555049109,2022-04-01
444,747.7761996842588,2022-04-01
445,89556.93051587693,2022-04-01
446,1947705.3919471623,2022-04-01
447,75068.34966357349,2022-04-01
448,176001.2106015,2022-04-01
449,0.0,2022-04-01
450,601.2215496990303,2022-04-01
451,10254597.866869418,2022-04-01
452,165.77904718269846,2022-04-01
